method,scenario,horizon,baseline_eal_rate,future_eal_rate_limit,cells_exceeding_limit,share_exceeding_limit
raw,ssp2-4.5,2100,0.001,0.1,2,0.00016767270288397049
raw,ssp2-4.5,2100,0.001,0.5,1,8.383635144198524e-05
raw,ssp2-4.5,2100,0.001,1.0,0,0.0
raw,ssp2-4.5,2100,0.005,0.1,7,0.0005868544600938967
raw,ssp2-4.5,2100,0.005,0.5,2,0.00016767270288397049
raw,ssp2-4.5,2100,0.005,1.0,1,8.383635144198524e-05
raw,ssp2-4.5,2100,0.01,0.1,17,0.001425217974513749
raw,ssp2-4.5,2100,0.01,0.5,5,0.00041918175720992624
raw,ssp2-4.5,2100,0.01,1.0,2,0.00016767270288397049
raw,ssp2-4.5,2100,0.02,0.1,39,0.0032696177062374247
raw,ssp2-4.5,2100,0.02,0.5,6,0.0005030181086519115
raw,ssp2-4.5,2100,0.02,1.0,5,0.00041918175720992624
raw,ssp2-4.5,2100,0.05,0.1,98,0.008215962441314555
raw,ssp2-4.5,2100,0.05,0.5,17,0.001425217974513749
raw,ssp2-4.5,2100,0.05,1.0,7,0.0005868544600938967
raw,ssp2-4.5,2100,0.1,0.1,7085,0.5939805499664654
raw,ssp2-4.5,2100,0.1,0.5,39,0.0032696177062374247
raw,ssp2-4.5,2100,0.1,1.0,17,0.001425217974513749
raw,ssp5-8.5,2100,0.001,0.1,3,0.00025150905432595576
raw,ssp5-8.5,2100,0.001,0.5,1,8.383635144198524e-05
raw,ssp5-8.5,2100,0.001,1.0,1,8.383635144198524e-05
raw,ssp5-8.5,2100,0.005,0.1,12,0.001006036217303823
raw,ssp5-8.5,2100,0.005,0.5,3,0.00025150905432595576
raw,ssp5-8.5,2100,0.005,1.0,3,0.00025150905432595576
raw,ssp5-8.5,2100,0.01,0.1,19,0.0015928906773977197
raw,ssp5-8.5,2100,0.01,0.5,5,0.00041918175720992624
raw,ssp5-8.5,2100,0.01,1.0,3,0.00025150905432595576
raw,ssp5-8.5,2100,0.02,0.1,32,0.0026827632461435278
raw,ssp5-8.5,2100,0.02,0.5,11,0.0009221998658618377
raw,ssp5-8.5,2100,0.02,1.0,5,0.00041918175720992624
raw,ssp5-8.5,2100,0.05,0.1,108,0.009054325955734407
raw,ssp5-8.5,2100,0.05,0.5,19,0.0015928906773977197
raw,ssp5-8.5,2100,0.05,1.0,12,0.001006036217303823
raw,ssp5-8.5,2100,0.1,0.1,8377,0.7022971160295104
raw,ssp5-8.5,2100,0.1,0.5,32,0.0026827632461435278
raw,ssp5-8.5,2100,0.1,1.0,19,0.0015928906773977197
hard_cap_5,ssp2-4.5,2100,0.001,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.001,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.001,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.005,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.005,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.005,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.01,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.01,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.01,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.02,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.02,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.02,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.05,0.1,98,0.008215962441314555
hard_cap_5,ssp2-4.5,2100,0.05,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.05,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.1,0.1,7085,0.5939805499664654
hard_cap_5,ssp2-4.5,2100,0.1,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.1,1.0,0,0.0
hard_cap_5,ssp5-8.5,2100,0.001,0.1,0,0.0
hard_cap_5,ssp5-8.5,2100,0.001,0.5,0,0.0
hard_cap_5,ssp5-8.5,2100,0.001,1.0,0,0.0
