method,scenario,horizon,minimum,median,p90,p95,p99,p99_5,p99_9,maximum,above_2,above_5,above_10,below_0_5
raw,ssp2-4.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
raw,ssp2-4.5,2030,0.8333333333333336,1.0000163314057584,1.0086800276258872,1.0113994728942768,1.0205175028144966,1.0372916371841814,1.081615745668106,11.458912834101286,1,1,1,0
raw,ssp2-4.5,2035,0.7121212121212123,1.000073343067229,1.017360055251774,1.0227512302826098,1.0410175868232314,1.0782471703951932,1.1737925309292563,23.84736103841596,1,1,1,0
raw,ssp2-4.5,2040,0.6145833333333335,1.0001682939971168,1.0261036726954502,1.0342655269157417,1.0621353574531844,1.1237705368889208,1.3037599742460055,37.381958964829906,2,1,1,0
raw,ssp2-4.5,2045,0.523809523809524,1.0002802760750864,1.0348402147413593,1.0458687672647469,1.088175872566135,1.1616769439421015,1.385167973811277,59.34165684330348,5,1,1,0
raw,ssp2-4.5,2050,0.43589743589743607,1.0004299176450666,1.0435502684266997,1.057579104127785,1.1109205486043665,1.200799338253728,1.5161965713385266,94.20352708371182,7,1,1,1
raw,ssp2-4.5,2055,0.36559139784946243,1.0019551864795178,1.0516621097606371,1.0676517472892508,1.137523921549184,1.2375176018331946,1.6515751231382385,144.24711858214548,9,1,1,1
raw,ssp2-4.5,2060,0.31481481481481494,1.0039627586284046,1.059172987988548,1.0763839500967831,1.1691992215117657,1.2771604384250632,1.8378793317147706,201.91324697424338,11,2,1,1
raw,ssp2-4.5,2065,0.27642276422764234,1.0058053501526776,1.0663580138238307,1.0844948469284765,1.2278304381773666,1.3845473841106473,2.055017010564577,257.75421448470934,14,3,1,1
raw,ssp2-4.5,2070,0.24637681159420294,1.0074348565936013,1.0735543006561357,1.0936768972904354,1.3048023923694,1.5349521738101675,2.7672268526156114,306.37307879813864,28,6,3,1
raw,ssp2-4.5,2075,0.22222222222222224,1.008463697732128,1.081708135701343,1.1034232698222466,1.3594550872710498,1.7678363437710718,4.169511681779072,348.86306404293856,47,8,4,1
raw,ssp2-4.5,2080,0.20238095238095247,1.0092364175951796,1.0897801507733007,1.1138946953044144,1.4656488154716252,2.080914227107858,5.040722262051096,391.2745531846988,62,15,6,1
raw,ssp2-4.5,2085,0.18579234972677602,1.0096564152180663,1.0987279828407497,1.1256382062555665,1.5638476534040933,2.2459415675138463,6.951173176317446,443.79605621457245,70,26,9,1
raw,ssp2-4.5,2090,0.1717171717171718,1.0099974887321337,1.107283467805087,1.1389939452354345,1.6547232870107214,2.581290169593892,8.805448706289368,514.6540918375067,81,32,10,1
raw,ssp2-4.5,2095,0.15962441314553996,1.0098145846102005,1.1152274839854486,1.1499693423901087,1.7478380315815354,2.8584608694990887,10.469464028896612,586.7526289447409,90,37,13,1
raw,ssp2-4.5,2100,0.14912280701754388,1.0095357432864263,1.1238036511763476,1.1613232106974467,1.8322849972938835,3.105351232043402,11.914538249140776,649.4272523369508,98,39,17,1
raw,ssp5-8.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
raw,ssp5-8.5,2030,0.49999999999999994,1.0009293946246514,1.0185738170990728,1.0224929357358903,1.031778844272317,1.044471471580815,1.1240533420386105,2.0474722986836658,1,0,0,1
raw,ssp5-8.5,2035,0.27272727272727276,1.0025685741033916,1.037186232620467,1.0449941098845796,1.0637981132337018,1.0896377879914896,1.2508238241103373,3.1174489054767993,2,0,0,1
raw,ssp5-8.5,2040,0.18749999999999997,1.0046024318787956,1.0560402091971792,1.0677531898113268,1.0959540652741797,1.1443509272402228,1.402515885953345,4.40378715081812,4,0,0,1
raw,ssp5-8.5,2045,0.14285714285714293,1.0067027506756792,1.0748985952267143,1.0904718295668763,1.1283629061609644,1.2113249243278001,1.6043347901144975,5.802650850999072,9,1,0,1
raw,ssp5-8.5,2050,0.11538461538461538,1.0091343903626582,1.0940461246339588,1.1133757062931342,1.1605483414738444,1.2631029151470112,1.7337836124821624,6.993531156447763,11,1,0,1
raw,ssp5-8.5,2055,0.0967741935483871,1.015810513988892,1.1131665282239898,1.1350526583456815,1.1927487901666354,1.3464686218313335,2.1933964298026143,8.024734441397158,14,2,0,1
raw,ssp5-8.5,2060,0.08333333333333333,1.027911716314023,1.1307438733837245,1.1554984450620545,1.2220701272433447,1.411766775695884,3.0237827708876237,10.16224261334468,16,4,1,1
raw,ssp5-8.5,2065,0.07317073170731707,1.033377681750693,1.150306869718571,1.1752921891426387,1.2664185617997852,1.5001506534381082,3.924887986529062,14.67537592283738,23,8,3,1
raw,ssp5-8.5,2070,0.06521739130434782,1.0375129088282335,1.1732485669428478,1.204679827890688,1.3236057998792723,1.577576422788817,4.736050568089593,43.321470413835144,30,11,5,1
raw,ssp5-8.5,2075,0.05882352941176471,1.0415105882750928,1.1977909003315441,1.2349386186081461,1.4204884706861145,1.7627425012319042,5.4500484629983275,130.0965695332452,39,14,8,1
raw,ssp5-8.5,2080,0.05357142857142856,1.0449743539452843,1.2232624800624237,1.269212176539771,1.5218052159286908,1.9567636343720025,6.771054611154465,300.80654700689666,54,20,9,1
