method,changed_rows,changed_share,explicit_spatial_replacements,core_mean_absolute_log_error,core_max_absolute_log_error,global_minimum,global_maximum,temporal_reversals,temporal_ties_created,scenario_reversals,scenario_ties_created,spatial_roughness_2100
raw,0,0.0,0,0.0,0.0,0.03947368421052631,1556.7451149210062,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009156502833341943, ""p99_absolute_log_deviation"": 0.2950047285718892}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018641202522329398, ""p99_absolute_log_deviation"": 0.4653410632561889}}"
hard_cap_5,360,0.000943158953722334,0,0.0,0.0,0.2,5.0,0,287,0,73,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009043739952251661, ""p99_absolute_log_deviation"": 0.28793464894260073}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018633782780319713, ""p99_absolute_log_deviation"": 0.46441022428878476}}"
power_0_5,235297,0.6164513120389,0,0.01840561789182275,0.3459867625274905,0.19867985355975656,39.455609422755174,0,14,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.00045782514166706114, ""p99_absolute_log_deviation"": 0.14750236428594465}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0009320601261163866, ""p99_absolute_log_deviation"": 0.23267053162809442}}"
symmetric_log,234418,0.6141484322602281,0,0.002583789664403846,0.1660779111239929,0.23628813727283,8.350352455749249,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0008744117405944263, ""p99_absolute_log_deviation"": 0.2227765027100267}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0016573722362928367, ""p99_absolute_log_deviation"": 0.35287369558442677}}"
baseline_floor_1e-4,78971,0.20689501592890677,0,0.011576346075394574,0.6615404484534261,0.5127296662063627,61.35715969006375,0,0,29,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0010666150004625102, ""p99_absolute_log_deviation"": 0.26778231610673525}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0035630705124293574, ""p99_absolute_log_deviation"": 0.3947013171761032}}"
soft_log_t1_5_c5,3083,0.008077108484238767,0,3.924218988598069e-06,0.005288498381529933,0.20440776891387027,4.999882424276713,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009153729132447275, ""p99_absolute_log_deviation"": 0.28350523052170373}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018633782780319713, ""p99_absolute_log_deviation"": 0.4607142097467816}}"
soft_log_t2_c3,1103,0.002889734238765929,0,3.580150707640871e-18,2.2204460492503128e-16,0.3333343170304205,2.999999999999987,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009043739952251661, ""p99_absolute_log_deviation"": 0.2657639520024869}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018633782780319713, ""p99_absolute_log_deviation"": 0.4546190498523619}}"
soft_log_t2_c5,1103,0.002889734238765929,0,3.580150707640871e-18,2.2204460492503128e-16,0.2014359957947593,4.999995518748284,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009156502833341943, ""p99_absolute_log_deviation"": 0.28684906359585777}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018641202522329398, ""p99_absolute_log_deviation"": 0.4635838348095935}}"
soft_log_t2_c10,1102,0.002887114352783367,0,3.580150707640871e-18,2.2204460492503128e-16,0.11406765922130283,9.99178470324582,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009156502833341943, ""p99_absolute_log_deviation"": 0.29029072251705257}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018641202522329398, ""p99_absolute_log_deviation"": 0.4644102242853735}}"
soft_log_t3_c5,624,0.0016348088531187124,0,3.580150707640871e-18,2.2204460492503128e-16,0.20004814413111804,4.999999999880313,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009156502833341943, ""p99_absolute_log_deviation"": 0.28793464894260073}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018641202522329398, ""p99_absolute_log_deviation"": 0.46441022428878476}}"
soft_log_t3_c10,624,0.0016348088531187124,0,3.580150707640871e-18,2.2204460492503128e-16,0.10699605460449657,9.999256315789125,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009156502833341943, ""p99_absolute_log_deviation"": 0.2902975060801071}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018641202522329398, ""p99_absolute_log_deviation"": 0.46441022428878476}}"
soft_log_t5_c10,360,0.000943158953722334,0,3.580150707640871e-18,2.2204460492503128e-16,0.10128002508995877,9.999999113122207,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009156502833341943, ""p99_absolute_log_deviation"": 0.2902975060801071}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018641202522329398, ""p99_absolute_log_deviation"": 0.46441022428878476}}"
soft_log_arctan_t3_c5,624,0.0016348088531187124,0,0.0,0.0,0.2100840850740252,4.9162049084243185,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009156502833341943, ""p99_absolute_log_deviation"": 0.2838719744117818}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018641202522329398, ""p99_absolute_log_deviation"": 0.46441022428878476}}"
spatial_ratio_3x3,218679,0.5729140467806841,218679,0.009164482161096174,2.8698784077956447,0.39623289815152063,18.051291550785628,9988,19872,6342,8837,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.00068651346571727, ""p99_absolute_log_deviation"": 0.13769133308216397}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018170796750271168, ""p99_absolute_log_deviation"": 0.26511092598610975}}"
spatial_outlier_replace,258,0.000675930583501006,262,0.0,0.0,0.20238095238095247,18.800982986426238,57,21,94,9,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0009102647886691656, ""p99_absolute_log_deviation"": 0.24752170763126088}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0018530249019782785, ""p99_absolute_log_deviation"": 0.3975630452636113}}"
