cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr
237163,164,1003,49.0,-109.25,MT
237220,164,1060,49.0,-95.0,MN
237221,164,1061,49.0,-94.75,MN
238579,165,979,48.75,-115.25,MT
238591,165,991,48.75,-112.25,MT
238594,165,994,48.75,-111.5,MT
238597,165,997,48.75,-110.75,MT
238598,165,998,48.75,-110.5,MT
238599,165,999,48.75,-110.25,MT
238600,165,1000,48.75,-110.0,MT
238601,165,1001,48.75,-109.75,MT
238608,165,1008,48.75,-108.0,MT
238613,165,1013,48.75,-106.75,MT
238614,165,1014,48.75,-106.5,MT
238617,165,1017,48.75,-105.75,MT
238618,165,1018,48.75,-105.5,MT
238620,165,1020,48.75,-105.0,MT
238623,165,1023,48.75,-104.25,MT
238655,165,1055,48.75,-96.25,MN
240032,166,992,48.5,-112.0,MT
240033,166,993,48.5,-111.75,MT
240034,166,994,48.5,-111.5,MT
240035,166,995,48.5,-111.25,MT
240036,166,996,48.5,-111.0,MT
240037,166,997,48.5,-110.75,MT
240038,166,998,48.5,-110.5,MT
240039,166,999,48.5,-110.25,MT
240040,166,1000,48.5,-110.0,MT
240043,166,1003,48.5,-109.25,MT
240044,166,1004,48.5,-109.0,MT
240053,166,1013,48.5,-106.75,MT
240057,166,1017,48.5,-105.75,MT
240059,166,1019,48.5,-105.25,MT
241431,167,951,48.25,-122.25,WA
241453,167,973,48.25,-116.75,ID
241474,167,994,48.25,-111.5,MT
241475,167,995,48.25,-111.25,MT
241479,167,999,48.25,-110.25,MT
241494,167,1014,48.25,-106.5,MT
241495,167,1015,48.25,-106.25,MT
241497,167,1017,48.25,-105.75,MT
241498,167,1018,48.25,-105.5,MT
241499,167,1019,48.25,-105.25,MT
241500,167,1020,48.25,-105.0,MT
241505,167,1025,48.25,-103.75,ND
241516,167,1036,48.25,-101.0,ND
241519,167,1039,48.25,-100.25,ND
241543,167,1063,48.25,-94.25,MN
242913,168,993,48.0,-111.75,MT
242915,168,995,48.0,-111.25,MT
242916,168,996,48.0,-111.0,MT
242933,168,1013,48.0,-106.75,MT
242937,168,1017,48.0,-105.75,MT
242941,168,1021,48.0,-104.75,MT
242945,168,1025,48.0,-103.75,ND
242947,168,1027,48.0,-103.25,ND
242980,168,1060,48.0,-95.0,MN
243000,168,1080,48.0,-90.0,MN
244345,169,985,47.75,-113.75,MT
244346,169,986,47.75,-113.5,MT
244352,169,992,47.75,-112.0,MT
244353,169,993,47.75,-111.75,MT
244354,169,994,47.75,-111.5,MT
244356,169,996,47.75,-111.0,MT
244359,169,999,47.75,-110.25,MT
244360,169,1000,47.75,-110.0,MT
244370,169,1010,47.75,-107.5,MT
244374,169,1014,47.75,-106.5,MT
244375,169,1015,47.75,-106.25,MT
244376,169,1016,47.75,-106.0,MT
244378,169,1018,47.75,-105.5,MT
244380,169,1020,47.75,-105.0,MT
244385,169,1025,47.75,-103.75,ND
245796,170,996,47.5,-111.0,MT
245814,170,1014,47.5,-106.5,MT
245816,170,1016,47.5,-106.0,MT
245817,170,1017,47.5,-105.75,MT
245818,170,1018,47.5,-105.5,MT
245819,170,1019,47.5,-105.25,MT
245831,170,1031,47.5,-102.25,ND
