state,missing,served,missing_rate
NV,158,461,0.34273318872017355
UT,91,348,0.2614942528735632
AZ,109,466,0.23390557939914164
WY,102,459,0.2222222222222222
NM,103,495,0.2080808080808081
CO,80,461,0.1735357917570499
MT,109,691,0.1577424023154848
CA,92,675,0.1362962962962963
OH,22,179,0.12290502793296089
NE,30,328,0.09146341463414634
OR,37,442,0.083710407239819
ND,29,354,0.08192090395480225
ID,31,403,0.07692307692307693
SD,24,362,0.06629834254143646
IA,17,262,0.0648854961832061
IN,9,163,0.05521472392638037
TX,44,1038,0.04238921001926782
MI,11,267,0.04119850187265917
WI,10,268,0.03731343283582089
IL,9,242,0.0371900826446281
MN,14,395,0.035443037974683546
WA,8,343,0.023323615160349854
VT,1,51,0.0196078431372549
KS,7,361,0.019390581717451522
NY,4,215,0.018604651162790697
PA,3,219,0.0136986301369863
ME,2,153,0.013071895424836602
KY,1,167,0.005988023952095809
AL,0,204,0.0
AR,0,205,0.0
CT,0,24,0.0
DE,0,9,0.0
FL,0,219,0.0
GA,0,233,0.0
LA,0,187,0.0
MA,0,30,0.0
MD,0,38,0.0
MO,0,306,0.0
MS,0,192,0.0
NC,0,213,0.0
NH,0,45,0.0
NJ,0,35,0.0
OK,0,296,0.0
RI,0,7,0.0
SC,0,123,0.0
TN,0,186,0.0
VA,0,162,0.0
WV,0,103,0.0
