scenario,horizon,source_workbooks,valid_factors,missing_baseline,zero_baseline,missing_future,missing_source_cells
ssp2-4.5,2025,11928,11928,0,0,0,1157
ssp2-4.5,2030,11928,11928,0,0,0,1157
ssp2-4.5,2035,11928,11928,0,0,0,1157
ssp2-4.5,2040,11928,11928,0,0,0,1157
ssp2-4.5,2045,11928,11928,0,0,0,1157
ssp2-4.5,2050,11928,11928,0,0,0,1157
ssp2-4.5,2055,11928,11928,0,0,0,1157
ssp2-4.5,2060,11928,11928,0,0,0,1157
ssp2-4.5,2065,11928,11928,0,0,0,1157
ssp2-4.5,2070,11928,11928,0,0,0,1157
ssp2-4.5,2075,11928,11928,0,0,0,1157
ssp2-4.5,2080,11928,11928,0,0,0,1157
ssp2-4.5,2085,11928,11928,0,0,0,1157
ssp2-4.5,2090,11928,11928,0,0,0,1157
ssp2-4.5,2095,11928,11928,0,0,0,1157
ssp2-4.5,2100,11928,11928,0,0,0,1157
ssp5-8.5,2025,11928,11928,0,0,0,1157
ssp5-8.5,2030,11928,11928,0,0,0,1157
ssp5-8.5,2035,11928,11928,0,0,0,1157
ssp5-8.5,2040,11928,11928,0,0,0,1157
ssp5-8.5,2045,11928,11928,0,0,0,1157
ssp5-8.5,2050,11928,11928,0,0,0,1157
ssp5-8.5,2055,11928,11928,0,0,0,1157
ssp5-8.5,2060,11928,11928,0,0,0,1157
ssp5-8.5,2065,11928,11928,0,0,0,1157
ssp5-8.5,2070,11928,11928,0,0,0,1157
ssp5-8.5,2075,11928,11928,0,0,0,1157
ssp5-8.5,2080,11928,11928,0,0,0,1157
ssp5-8.5,2085,11928,11928,0,0,0,1157
ssp5-8.5,2090,11928,11928,0,0,0,1157
ssp5-8.5,2095,11928,11928,0,0,0,1157
ssp5-8.5,2100,11928,11928,0,0,0,1157
