scenario,horizon,baseline_floor,retained,excluded,median,p90,p99,maximum
ssp2-4.5,2035,0.0,11928,0,1.000073343067229,1.017360055251774,1.0410175868232314,23.84736103841596
ssp2-4.5,2035,1e-08,11786,142,1.0000396008626207,1.0172683540359175,1.0411661424354315,23.84736103841596
ssp2-4.5,2035,1e-07,11486,442,1.0000014067747744,1.0170463798287979,1.0412350702413522,23.84736103841596
ssp2-4.5,2035,1e-06,10843,1085,1.0,1.0166197601852482,1.043507922242019,1.7115404971508235
ssp2-4.5,2035,1e-05,9762,2166,1.0,1.0161351336264994,1.046632866616456,1.6346303034849847
ssp2-4.5,2035,0.0001,8647,3281,1.0,1.015520813685855,1.051404136159969,1.6346303034849847
ssp2-4.5,2040,0.0,11928,0,1.0001682939971168,1.0261036726954502,1.0621353574531842,37.381958964829906
ssp2-4.5,2040,1e-08,11786,142,1.0000943379061649,1.0259967758638937,1.0641096598242807,37.381958964829906
ssp2-4.5,2040,1e-07,11486,442,1.0000064613715862,1.0256845894813302,1.0645977152908765,37.381958964829906
ssp2-4.5,2040,1e-06,10843,1085,1.0,1.024953813386822,1.0668602098863755,2.181823694934988
ssp2-4.5,2040,1e-05,9762,2166,1.0,1.024263992562436,1.067989300736483,1.9543339876173085
ssp2-4.5,2040,0.0001,8647,3281,1.0,1.0233130033348985,1.0790431139300067,1.9543339876173085
ssp2-4.5,2050,0.0,11928,0,1.0004299176450666,1.0435502684266997,1.1109205486043665,94.20352708371182
ssp2-4.5,2050,1e-08,11786,142,1.0002466084927386,1.0433764771654286,1.1127204241709603,94.20352708371182
ssp2-4.5,2050,1e-07,11486,442,1.0000656797666467,1.0428822758790588,1.1149831860972759,94.20352708371182
ssp2-4.5,2050,1e-06,10843,1085,1.0000000000000002,1.0417029210436966,1.1198651207004608,3.843498402218849
ssp2-4.5,2050,1e-05,9762,2166,1.0,1.040568366450716,1.127095384731663,2.6367562406704113
ssp2-4.5,2050,0.0001,8647,3281,1.0,1.0390864980328152,1.1383852039782982,2.6367562406704113
ssp2-4.5,2100,0.0,11928,0,1.0095357432864263,1.1238036511763476,1.8322849972938835,649.4272523369508
ssp2-4.5,2100,1e-08,11786,142,1.008525103114465,1.1237674060109426,1.8496971362393477,649.4272523369508
ssp2-4.5,2100,1e-07,11486,442,1.0070251297717114,1.12337772990723,1.8614264591143546,649.4272523369508
ssp2-4.5,2100,1e-06,10843,1085,1.0045492852648028,1.122631379170324,1.88875896987546,115.17995049588217
ssp2-4.5,2100,1e-05,9762,2166,1.0025827521767081,1.1208721683450744,1.9553197765695025,115.17995049588217
ssp2-4.5,2100,0.0001,8647,3281,1.0009935760851754,1.1208099322151517,2.045346585283319,61.280091508536586
ssp5-8.5,2035,0.0,11928,0,1.0025685741033916,1.037186232620467,1.0637981132337018,3.1174489054767993
ssp5-8.5,2035,1e-08,11786,142,1.0019252618563497,1.0371298668954845,1.0639021494237577,3.1174489054767993
ssp5-8.5,2035,1e-07,11491,437,1.0011027179412484,1.0365430249778762,1.0640053762525654,3.1174489054767993
ssp5-8.5,2035,1e-06,10847,1081,1.0004582122894472,1.0354080439924094,1.064279073959678,3.1174489054767993
ssp5-8.5,2035,1e-05,9772,2156,1.000185669997013,1.0332469911335027,1.065485155640595,3.1174489054767993
ssp5-8.5,2035,0.0001,8659,3269,1.0000123691139606,1.0309672512826398,1.0661346983237003,3.1174489054767993
ssp5-8.5,2040,0.0,11928,0,1.0046024318787956,1.0560402091971792,1.0959540652741797,4.40378715081812
ssp5-8.5,2040,1e-08,11786,142,1.0036808421617716,1.0559339120513935,1.0961739797470609,4.40378715081812
ssp5-8.5,2040,1e-07,11491,437,1.0021451682052471,1.0549475965168351,1.0962227861457159,4.40378715081812
ssp5-8.5,2040,1e-06,10847,1081,1.0009310665939213,1.0532880198136791,1.0967978684822732,4.40378715081812
ssp5-8.5,2040,1e-05,9772,2156,1.0004155998827007,1.0501108866763222,1.0986566354036584,4.40378715081812
ssp5-8.5,2040,0.0001,8659,3269,1.0000678252290953,1.046959723322336,1.0999887648188873,4.40378715081812
ssp5-8.5,2050,0.0,11928,0,1.0091343903626582,1.0940461246339588,1.1605483414738444,6.993531156447763
ssp5-8.5,2050,1e-08,11786,142,1.0077856858506022,1.0939878275654658,1.1608249371617763,6.993531156447763
ssp5-8.5,2050,1e-07,11491,437,1.005299789869992,1.092853054499582,1.1611186865727567,6.993531156447763
ssp5-8.5,2050,1e-06,10847,1081,1.002489462266552,1.0902972516553397,1.1631328030678947,6.993531156447763
ssp5-8.5,2050,1e-05,9772,2156,1.0010552746457069,1.0849535807680464,1.1644288844510655,6.993531156447763
ssp5-8.5,2050,0.0001,8659,3269,1.0002667995853523,1.0801470634363275,1.166770212055954,6.993531156447763
ssp5-8.5,2100,0.0,11928,0,1.0561618392256111,1.347148533789714,1.977041900806114,1556.7451149210062
ssp5-8.5,2100,1e-08,11786,142,1.0548292925167486,1.3480969811526018,1.980132398245826,1556.7451149210062
ssp5-8.5,2100,1e-07,11491,437,1.0523016598939203,1.3502876557064634,1.9825869970510395,1556.7451149210062
ssp5-8.5,2100,1e-06,10847,1081,1.0476671028423268,1.3487699996628724,1.9938553185409966,325.8368551452594
ssp5-8.5,2100,1e-05,9772,2156,1.0423079014277152,1.3415200842778499,2.0031932064245606,53.59730501177478
ssp5-8.5,2100,0.0001,8659,3269,1.0342883614112885,1.3348232225501846,2.004082508220997,35.094681181875934
