scenario,horizon,years_from_2025,n,minimum,p01,p05,p10,p25,median,p75,p90,p95,p99,maximum,below_1x,equal_1x,above_1x,above_1_1x,above_1_25x,above_1_5x,above_2x
ssp2-4.5,2025,0,11928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,11928,0,0,0,0,0
ssp2-4.5,2030,5,11928,0.8333333333333336,0.9950914926292538,0.9999142861573703,1.0,1.0,1.0000163314057584,1.0041739312376134,1.0086800276258872,1.0113994728942768,1.0205175028144964,11.458912834101286,718,5137,6073,9,4,1,1
ssp2-4.5,2035,10,11928,0.7121212121212123,0.9910932984420148,0.9998479383004105,1.0,1.0,1.000073343067229,1.0083403649583764,1.017360055251774,1.0227512302826096,1.0410175868232314,23.84736103841596,717,5007,6204,38,8,4,1
ssp2-4.5,2040,15,11928,0.6145833333333335,0.9873703637534377,0.9997978661428307,1.0,1.0,1.0001682939971168,1.0125350479303128,1.0261036726954502,1.0342655269157417,1.0621353574531842,37.381958964829906,714,4993,6221,76,14,8,2
ssp2-4.5,2045,20,11928,0.523809523809524,0.9836612656984464,0.9997490794911256,1.0,1.0,1.0002802760750864,1.0167283720331783,1.0348402147413593,1.0458687672647469,1.088175872566135,59.34165684330348,712,4953,6263,95,33,9,5
ssp2-4.5,2050,25,11928,0.43589743589743607,0.9801840176078774,0.9997055290615163,1.0,1.0,1.0004299176450666,1.0208826256542398,1.0435502684266997,1.057579104127785,1.1109205486043665,94.20352708371182,711,4917,6300,143,41,13,7
ssp2-4.5,2055,30,11928,0.36559139784946243,0.9769877254573343,0.9998229071157981,1.0,1.0,1.0019551864795178,1.024987059163164,1.0516621097606371,1.0676517472892508,1.137523921549184,144.24711858214548,671,4431,6826,199,55,21,9
ssp2-4.5,2060,35,11928,0.31481481481481494,0.9738796072698406,0.9999445649613726,1.0,1.0,1.0039627586284046,1.0290367056840615,1.059172987988548,1.0763839500967831,1.1691992215117657,201.91324697424338,644,4368,6916,265,80,26,11
ssp2-4.5,2065,40,11928,0.27642276422764234,0.9715223912629642,0.9999931518579233,1.0,1.0,1.0058053501526776,1.0335701168733404,1.0663580138238307,1.0844948469284768,1.2278304381773666,257.75421448470934,616,4282,7030,347,109,39,14
ssp2-4.5,2070,45,11928,0.24637681159420294,0.9690871526608773,0.9999983652108843,1.0,1.0,1.0074348565936013,1.0395405211794806,1.0735543006561357,1.0936768972904354,1.3048023923694,306.37307879813864,605,4234,7089,468,137,68,28
ssp2-4.5,2075,50,11928,0.22222222222222224,0.9668949419069877,0.9999999650658185,1.0,1.0,1.008463697732128,1.045361772644657,1.081708135701343,1.1034232698222468,1.3594550872710498,348.86306404293856,597,4227,7104,673,169,89,47
ssp2-4.5,2080,55,11928,0.20238095238095247,0.9646733594591742,0.9999999198695338,1.0,1.0,1.0092364175951796,1.0506843242578012,1.0897801507733007,1.1138946953044144,1.4656488154716252,391.2745531846988,599,4215,7114,891,227,109,62
ssp2-4.5,2085,60,11928,0.18579234972677602,0.9625110058902706,0.9999923314521575,1.0,1.0,1.0096564152180663,1.0553986808097608,1.0987279828407497,1.1256382062555665,1.5638476534040933,443.79605621457245,613,4186,7129,1155,276,132,70
ssp2-4.5,2090,65,11928,0.1717171717171718,0.9597718489506419,0.999906892504164,1.0,1.0,1.0099974887321337,1.0604715574216028,1.107283467805087,1.1389939452354345,1.6547232870107216,514.6540918375067,643,4163,7122,1398,310,163,81
ssp2-4.5,2095,70,11928,0.15962441314553996,0.957093442914242,0.9996179329083202,1.0,1.0,1.0098145846102005,1.0653321479313684,1.1152274839854486,1.1499693423901087,1.7478380315815356,586.7526289447409,680,4163,7085,1666,354,199,90
ssp2-4.5,2100,75,11928,0.14912280701754388,0.9550915036985635,0.9993197026730598,1.0,1.0,1.0095357432864263,1.0692536632417269,1.1238036511763476,1.1613232106974467,1.8322849972938835,649.4272523369508,711,4163,7054,1890,384,225,98
ssp5-8.5,2025,0,11928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,11928,0,0,0,0,0
ssp5-8.5,2030,5,11928,0.49999999999999994,0.9943404000663945,1.0,1.0,1.0,1.0009293946246514,1.0085246037107067,1.0185738170990728,1.0224929357358903,1.0317788442723173,2.0474722986836658,521,4846,6561,15,7,1,1
ssp5-8.5,2035,10,11928,0.27272727272727276,0.9887381387413008,1.0,1.0,1.0,1.0025685741033916,1.0170629356790615,1.037186232620467,1.0449941098845796,1.0637981132337018,3.1174489054767993,518,4558,6852,58,13,7,2
ssp5-8.5,2040,15,11928,0.18749999999999997,0.9833815643906143,1.0,1.0,1.0,1.0046024318787956,1.0256777340400518,1.0560402091971792,1.0677531898113268,1.0959540652741797,4.40378715081812,518,4489,6921,95,24,9,4
ssp5-8.5,2045,20,11928,0.14285714285714293,0.9777429764537118,1.0,1.0,1.0,1.0067027506756792,1.034681481432079,1.0748985952267143,1.0904718295668763,1.1283629061609646,5.802650850999072,516,4463,6949,398,51,15,9
