tail,rank,cell_id,lat_center,lon_center,state_abbr,scenario,horizon,baseline_damage,future_damage,absolute_change_magnitude,factor_raw
lowest,1,312001,36.0,-119.75,CA,ssp2-4.5,2035,-1.089845929691859e-08,-7.761024044775361e-09,-3.137435252143229e-09,0.7121212121212123
lowest,2,299101,38.25,-104.75,CO,ssp2-4.5,2035,-1.702880827271341e-06,-1.584328433770428e-06,-1.1855239350091285e-07,0.930381274131274
lowest,3,324979,33.75,-115.25,CA,ssp2-4.5,2035,-3.809969605092466e-06,-3.585168935257179e-06,-2.2480066983528687e-07,0.9409967288099058
lowest,4,251549,46.5,-112.75,MT,ssp2-4.5,2035,-0.001735921431059437,-0.001639178437616711,-9.674299344272601e-05,0.9442699469504887
lowest,5,270375,43.25,-86.25,MI,ssp2-4.5,2035,-1.806034971979853e-06,-1.711221165689669e-06,-9.481380629018399e-08,0.9475016775637268
lowest,6,339430,31.25,-102.5,TX,ssp2-4.5,2035,-0.0001071253453414545,-0.0001018730026773647,-5.252342664089808e-06,0.9509701215212111
lowest,7,304856,37.25,-106.0,CO,ssp2-4.5,2035,-0.0008925273615614786,-0.0008532435249280912,-3.928383663338744e-05,0.9559858461205488
lowest,8,337986,31.5,-103.5,TX,ssp2-4.5,2035,-5.164260280136609e-05,-4.943251619829225e-05,-2.210086603073841e-06,0.957204198022812
lowest,9,320658,34.5,-115.5,CA,ssp2-4.5,2035,-2.488824639107612e-06,-2.394901993511738e-06,-9.392264559587407e-08,0.9622622485650292
lowest,10,312023,36.0,-114.25,AZ,ssp2-4.5,2035,-4.802475496418666e-05,-4.625430358115121e-05,-1.7704513830354464e-06,0.9631346087167811
lowest,11,309128,36.5,-118.0,CA,ssp2-4.5,2035,-7.785464999644422e-05,-7.505908479184054e-05,-2.7955652046036765e-06,0.9640925082222918
lowest,12,294766,39.0,-108.5,CO,ssp2-4.5,2035,-0.002234696030151997,-0.002156932389196224,-7.776364095577306e-05,0.965201691905058
lowest,13,257306,45.5,-113.5,MT,ssp2-4.5,2035,-0.001149851811023174,-0.001110317458935939,-3.953435208723516e-05,0.9656178720525246
lowest,14,252994,46.25,-111.5,MT,ssp2-4.5,2035,-0.008168092367705552,-0.007891720951168366,-0.0002763714165371859,0.9661645089090956
lowest,15,286130,40.5,-107.5,CO,ssp2-4.5,2035,-0.004083076002530676,-0.003946426488785377,-0.00013664951374529888,0.9665327038584136
lowest,16,312013,36.0,-116.75,CA,ssp2-4.5,2035,-0.0001114361945053987,-0.0001077250386629396,-3.7111558424590875e-06,0.9666970335901116
lowest,17,306274,37.0,-111.5,AZ,ssp2-4.5,2035,-2.485041822484131e-06,-2.404933538182593e-06,-8.010828430153766e-08,0.9677638084088828
lowest,18,319219,34.75,-115.25,CA,ssp2-4.5,2035,-0.0002327150980977425,-0.0002252379363871993,-7.477161710543214e-06,0.9678698899570206
lowest,19,304857,37.25,-105.75,CO,ssp2-4.5,2035,-0.01097627253571807,-0.01064098806135184,-0.0003352844743662285,0.9694537035887936
lowest,20,316324,35.25,-119.0,CA,ssp2-4.5,2035,-0.0002803049320671071,-0.0002724294650542621,-7.87546701284497e-06,0.9719039299281416
highest,1,287704,40.25,-74.0,NJ,ssp2-4.5,2035,-4.059460738703959e-07,-9.680742585714808e-06,9.274796511844413e-06,23.84736103841596
highest,2,355295,28.5,-96.25,TX,ssp2-4.5,2035,-6.674193572440597e-06,-1.142315258505581e-05,4.748959012615213e-06,1.7115404971508235
highest,3,363997,27.0,-80.75,FL,ssp2-4.5,2035,-0.0001156914957870406,-0.000189112824869002,7.34213290819614e-05,1.6346303034849847
highest,4,346665,30.0,-93.75,LA,ssp2-4.5,2035,-0.003024078928555711,-0.004838886810564796,0.0018148078820090854,1.6001192180773638
highest,5,348110,29.75,-92.5,LA,ssp2-4.5,2035,-0.00459698275345829,-0.006392828490499789,0.001795845737041499,1.3906574884777394
highest,6,300474,38.0,-121.5,CA,ssp2-4.5,2035,-0.0056910407212793,-0.007776078289620986,0.002085037568341686,1.3663719292229886
highest,7,303352,37.5,-122.0,CA,ssp2-4.5,2035,-0.0003691698718754684,-0.0005026739512109673,0.00013350407933549895,1.3616331924847154
highest,8,348105,29.75,-93.75,LA,ssp2-4.5,2035,-0.01550858126174761,-0.01994519362932329,0.004436612367575681,1.2860746765094961
highest,9,346666,30.0,-93.5,LA,ssp2-4.5,2035,-0.01254064147078489,-0.01533652085763229,0.002795879386847399,1.2229454843566636
highest,10,330731,32.75,-117.25,CA,ssp2-4.5,2035,-0.000237571907848663,-0.000290230821669999,5.265891382133601e-05,1.2216546320572572
highest,11,348104,29.75,-94.0,TX,ssp2-4.5,2035,-0.01008738786402795,-0.01217446107049562,0.002087073206467671,1.2068992721009828
highest,12,348108,29.75,-93.0,LA,ssp2-4.5,2035,-0.0273884926247702,-0.03293598236344398,0.005547489738673778,1.2025481947720122
highest,13,348103,29.75,-94.25,TX,ssp2-4.5,2035,-0.01105856576961052,-0.01295542011546789,0.0018968543458573687,1.1715280611767953
highest,14,324967,33.75,-118.25,CA,ssp2-4.5,2035,-0.0001727618821168385,-0.0001997275817877607,2.696569967092219e-05,1.15608593365917
highest,15,346667,30.0,-93.25,LA,ssp2-4.5,2035,-0.02370297715318268,-0.02736119235696857,0.0036582152037858903,1.154335684506817
highest,16,304974,37.25,-76.5,VA,ssp2-4.5,2035,-0.001076268277282762,-0.00123839259404878,0.00016212431676601797,1.150635599123418
highest,17,336635,31.75,-81.25,GA,ssp2-4.5,2035,-0.01882212383813597,-0.02163518336557226,0.002813059527436289,1.1494549473602271
