scope,hazard,scenario,horizon,valid_factor_files,sample_files
overall,Overall,ssp2-4.5,2050,17,17
overall,Overall,ssp2-4.5,2100,17,17
overall,Overall,ssp5-8.5,2050,17,17
overall,Overall,ssp5-8.5,2100,17,17
hazard,Drought,ssp2-4.5,2050,0,17
hazard,Drought,ssp2-4.5,2100,0,17
hazard,Drought,ssp5-8.5,2050,0,17
hazard,Drought,ssp5-8.5,2100,0,17
hazard,Earthquake,ssp2-4.5,2050,0,17
hazard,Earthquake,ssp2-4.5,2100,0,17
hazard,Earthquake,ssp5-8.5,2050,0,17
hazard,Earthquake,ssp5-8.5,2100,0,17
hazard,Flood,ssp2-4.5,2050,5,17
hazard,Flood,ssp2-4.5,2100,5,17
hazard,Flood,ssp5-8.5,2050,5,17
hazard,Flood,ssp5-8.5,2100,5,17
hazard,Heat,ssp2-4.5,2050,0,17
hazard,Heat,ssp2-4.5,2100,0,17
hazard,Heat,ssp5-8.5,2050,0,17
hazard,Heat,ssp5-8.5,2100,0,17
hazard,Landslide,ssp2-4.5,2050,0,17
hazard,Landslide,ssp2-4.5,2100,0,17
hazard,Landslide,ssp5-8.5,2050,0,17
hazard,Landslide,ssp5-8.5,2100,0,17
hazard,Precipitation,ssp2-4.5,2050,0,17
hazard,Precipitation,ssp2-4.5,2100,0,17
hazard,Precipitation,ssp5-8.5,2050,0,17
hazard,Precipitation,ssp5-8.5,2100,0,17
hazard,Subsidence,ssp2-4.5,2050,0,17
hazard,Subsidence,ssp2-4.5,2100,0,17
hazard,Subsidence,ssp5-8.5,2050,0,17
hazard,Subsidence,ssp5-8.5,2100,0,17
hazard,Wildfire,ssp2-4.5,2050,16,17
hazard,Wildfire,ssp2-4.5,2100,16,17
hazard,Wildfire,ssp5-8.5,2050,16,17
hazard,Wildfire,ssp5-8.5,2100,16,17
hazard,Wind,ssp2-4.5,2050,5,17
hazard,Wind,ssp2-4.5,2100,5,17
hazard,Wind,ssp5-8.5,2050,6,17
hazard,Wind,ssp5-8.5,2100,6,17
