cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,iso_rto
238579,165,979,48.75,-115.25,MT,WEIM
238608,165,1008,48.75,-108.0,MT,WEIM
238655,165,1055,48.75,-96.25,MN,MISO
241431,167,951,48.25,-122.25,WA,WEIM
241453,167,973,48.25,-116.75,ID,WEIM
241516,167,1036,48.25,-101.0,ND,MISO
241519,167,1039,48.25,-100.25,ND,MISO
241543,167,1063,48.25,-94.25,MN,MISO
243000,168,1080,48.0,-90.0,MN,MISO
244345,169,985,47.75,-113.75,MT,WEIM
244346,169,986,47.75,-113.5,MT,WEIM
244370,169,1010,47.75,-107.5,MT,WEIM
245817,170,1017,47.5,-105.75,MT,WEIM
245853,170,1053,47.5,-96.75,MN,MISO
247271,171,1031,47.25,-102.25,ND,MISO
247285,171,1045,47.25,-98.75,ND,MISO
248645,172,965,47.0,-118.75,WA,WEIM
248658,172,978,47.0,-115.5,ID,WEIM
250111,173,991,46.75,-112.25,MT,WEIM
250118,173,998,46.75,-110.5,MT,WEIM
250152,173,1032,46.75,-102.0,ND,MISO
250174,173,1054,46.75,-96.5,MN,MISO
251645,174,1085,46.5,-88.75,MI,MISO
252954,175,954,46.25,-121.5,WA,WEIM
252973,175,973,46.25,-116.75,ID,WEIM
252984,175,984,46.25,-114.0,MT,WEIM
252989,175,989,46.25,-112.75,MT,WEIM
253090,175,1090,46.25,-87.5,MI,MISO
254469,176,1029,46.0,-102.75,ND,MISO
254477,176,1037,46.0,-100.75,ND,MISO
254489,176,1049,46.0,-97.75,ND,MISO
255847,177,967,45.75,-118.25,OR,WEIM
255950,177,1070,45.75,-92.5,WI,MISO
256046,177,1166,45.75,-68.5,ME,ISO-NE
258763,179,1003,45.25,-109.25,MT,WEIM
258804,179,1044,45.25,-99.0,SD,MISO
260183,180,983,45.0,-114.25,ID,WEIM
260288,180,1088,45.0,-88.0,WI,MISO
261628,181,988,44.75,-113.0,MT,WEIM
263076,182,996,44.5,-111.0,WY,WEIM
264487,183,967,44.25,-118.25,OR,WEIM
264568,183,1048,44.25,-98.0,SD,MISO
264667,183,1147,44.25,-73.25,VT,ISO-NE
284749,197,1069,40.75,-92.75,IA,MISO
