asset_id,asset_type,carbon_price,carbon_price_unit,cell_id,direct_carbon_cost_impact,direct_carbon_cost_rating,horizon,market_demand_shifts_impact,market_demand_shifts_rating,overall_transition_rating,readme_asset_revenue,readme_asset_value,report_date,revenue_growth,revenue_growth_unit,scenario,scope_1_2_intensity,scope_1_2_intensity_unit,scope_3_intensity,scope_3_intensity_unit,source_uri,surface,ticcs_subclass
USA_01223,Photovoltaic Power Generation,10.0044,$/tCO2,235780,,A,2025,,F,F,10000000,100000000,2026-09-17,,%,Below 2°C,40.23823,tCO2/M$,223.322177,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,60.953333,$/tCO2,235780,-0.090821,F,2030,4.100109,A,A,10000000,100000000,2026-09-17,1.361994,%,Below 2°C,26.11401,tCO2/M$,144.932753,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,84.3437,$/tCO2,235780,-0.112009,F,2035,8.427847,A,A,10000000,100000000,2026-09-17,1.538997,%,Below 2°C,17.337673,tCO2/M$,96.224086,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,119.9719,$/tCO2,235780,-0.115781,F,2040,12.712048,A,A,10000000,100000000,2026-09-17,1.47901,%,Below 2°C,10.377679,tCO2/M$,57.596117,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,165.8215,$/tCO2,235780,-0.110506,F,2045,16.7702,A,A,10000000,100000000,2026-09-17,1.392466,%,Below 2°C,4.886459,tCO2/M$,27.119845,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,216.3842,$/tCO2,235780,-0.100064,F,2050,20.681506,A,A,10000000,100000000,2026-09-17,1.331158,%,Below 2°C,2.103294,tCO2/M$,11.673283,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,7.473967,$/tCO2,235780,,A,2025,,F,F,10000000,100000000,2026-09-17,,%,Climate Breakdown,40.23823,tCO2/M$,223.322177,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,7.495833,$/tCO2,235780,-4.3e-05,A,2030,,F,F,10000000,100000000,2026-09-17,,%,Climate Breakdown,30.574345,tCO2/M$,169.687613,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,7.712133,$/tCO2,235780,-0.000235,A,2035,,F,F,10000000,100000000,2026-09-17,,%,Climate Breakdown,27.191078,tCO2/M$,150.910481,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
USA_01223,Photovoltaic Power Generation,7.943,$/tCO2,235780,-0.000467,A,2040,,F,F,10000000,100000000,2026-09-17,,%,Climate Breakdown,23.487502,tCO2/M$,130.355634,tCO2/M$,gs://infrasure-scr-data/Solar-asset/transition_risk/CONUS13K_Cell_235780_MN_MISO_SolarPV_transition_risks.xlsx,solar_transition,IC702010
