scenario,horizon,count,min,p01,p05,p25,median,p75,p95,p99,max,missing_factor_count,factor_below_one_third_count,factor_above_three_count,factor_above_five_count
ssp2-4.5,2025,11968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1117,0,0,0
ssp2-4.5,2030,11968,0.8571428571428572,0.9943263450052982,0.999950186423894,1.0,1.0,1.0012442652821225,1.0099846390168972,1.0295689417976899,2.0,1117,0,0,0
ssp2-4.5,2035,11968,0.8571428571428572,0.9893636293902754,0.9998929433873389,1.0,1.0,1.0033512981577295,1.0207674808720832,1.0714285714285714,2.0,1117,0,0,0
ssp2-4.5,2040,11968,0.8571428571428572,0.9846431446702286,0.9997608982145203,1.0,1.0,1.0056949683988567,1.032258064516129,1.125,2.0,1117,0,0,0
ssp2-4.5,2045,11968,0.8571428571428572,0.980221385611941,0.9996960903671408,1.0,1.0,1.0084213672093303,1.0444444444444443,1.1822755667955034,3.0,1117,0,0,0
ssp2-4.5,2050,11968,0.5,0.9753690966008739,0.9995606781996222,1.0,1.0,1.010989010989011,1.0562258093246302,1.25,4.0,1117,0,1,0
ssp2-4.5,2055,11968,0.4,0.9716257137869986,0.9996010918696475,1.0,1.0,1.01350773400621,1.0667699936189847,1.2912607768979787,4.0,1117,0,2,0
ssp2-4.5,2060,11968,0.3,0.9669264904700049,0.9996486744671631,1.0,1.0,1.015766537118322,1.0757743696647812,1.3333333333333333,5.000000000000001,1117,1,4,1
ssp2-4.5,2065,11968,0.3,0.9635265311171788,0.9998036388181215,1.0,1.0,1.0185046423507316,1.0839212389538444,1.3925441258397504,6.666666666666667,1117,1,4,3
ssp2-4.5,2070,11968,0.3,0.9594432941526682,0.9998513434718455,1.0,1.0,1.0210132111459747,1.0927941640149887,1.4811670648482522,10.000000000000002,1117,1,11,4
ssp2-4.5,2075,11968,0.2,0.9576090013889158,0.9999001333217885,1.0,1.0,1.0234479205344993,1.102623243695716,1.5,30.000000000000004,1117,1,13,8
ssp2-4.5,2080,11968,0.2,0.9535668272584582,0.9999000369854063,1.0,1.0,1.0267280070857043,1.1111111111111112,1.5366085107694598,76.00000000000001,1117,1,16,12
ssp2-4.5,2085,11968,0.2,0.9509581493641863,0.9998437683099426,1.0,1.0,1.0298902458366377,1.118590291188722,1.6813821246578708,148.0,1117,1,18,12
ssp2-4.5,2090,11968,0.2,0.9473684210526314,0.9994231333444498,1.0,1.0,1.0330597593275477,1.1284270868537412,1.8813845294364049,232.0,1117,1,21,16
ssp2-4.5,2095,11968,0.2,0.9447747515664406,0.9991724362565748,1.0,1.0,1.0358544313672884,1.138790552614676,2.0,311.00000000000006,1117,1,25,18
ssp2-4.5,2100,11968,0.2,0.9412566375827112,0.9987182625487876,1.0,1.0,1.0388151018609055,1.146979698892038,2.0,380.00000000000006,1117,1,27,19
ssp5-8.5,2025,11968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1117,0,0,0
ssp5-8.5,2030,11968,0.4,0.993216328559789,1.0,1.0,1.0,1.0044206798797088,1.0222197181083206,1.043718873213944,2.0,1117,0,0,0
ssp5-8.5,2035,11968,0.2,0.9863589391912282,1.0,1.0,1.0,1.0100440960313573,1.0457025701281704,1.0999999999999999,2.0,1117,1,0,0
ssp5-8.5,2040,11968,0.1,0.9794945858608766,1.0,1.0,1.0,1.0161290322580645,1.0714285714285714,1.2311686694516952,2.2227557232273,1117,1,0,0
ssp5-8.5,2045,11968,0.1,0.9723800710754285,1.0,1.0,1.0,1.0225908863677393,1.096105876851441,1.3333333333333333,3.0,1117,1,0,0
ssp5-8.5,2050,11968,0.1,0.9665234633179114,1.0,1.0,1.0,1.029670647993607,1.1235098297287043,1.3789210390660696,4.0,1117,1,4,0
ssp5-8.5,2055,11968,0.1,0.9595128956974448,1.0,1.0,1.0,1.0378805424669435,1.1498880452488207,1.5,10.0,1117,1,5,1
ssp5-8.5,2060,11968,0.1,0.9528203473409014,1.0,1.0,1.0,1.050419379562159,1.1753465725821493,1.5,30.000000000000004,1117,1,7,3
ssp5-8.5,2065,11968,0.1,0.9473090134236761,1.0,1.0,1.0,1.066798087297695,1.2,1.9256357373285882,56.66666666666667,1117,1,9,4
ssp5-8.5,2070,11968,0.05,0.9407762057495752,1.0,1.0,1.0001,1.0857219545863341,1.2316195341365446,2.0,90.0,1117,1,11,5
ssp5-8.5,2075,11968,0.04,0.9340548016029862,1.0,1.0,1.0005360016025124,1.1001652066771896,1.2622536669593665,2.0,123.33333333333333,1117,1,12,8
ssp5-8.5,2080,11968,0.04,0.9267906445294282,1.0,1.0,1.0013268592241675,1.1155378486055776,1.3174603174603174,2.0,160.0,1117,1,16,10
ssp5-8.5,2085,11968,0.030000000000000002,0.9196294887088149,1.0,1.0,1.0028323999630349,1.1326048430877165,1.3418806161745827,2.0,200.0,1117,1,18,11
ssp5-8.5,2090,11968,0.030000000000000002,0.9129379998659679,1.0,1.0,1.0053232680934125,1.146152369801424,1.4248118252249236,2.0,240.00000000000003,1117,1,18,11
ssp5-8.5,2095,11968,0.030000000000000002,0.9062086415649164,1.0,1.0,1.007957144175093,1.1640088536145097,1.5,2.0,280.0,1117,1,20,13
ssp5-8.5,2100,11968,0.030000000000000002,0.8980983314630123,1.0,1.0,1.0124219929652487,1.178261588952364,1.5,2.0,323.33333333333337,1117,1,24,14
