rank,tail,cell_id,state_abbr,lat_center,lon_center,scenario,horizon,baseline_damage_raw,future_damage_raw,baseline_damage_magnitude,future_damage_magnitude,factor_raw,percent_change_raw,factor_status,source_uri
1,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2085,-1e-07,-3e-09,1e-07,3e-09,0.030000000000000002,-0.97,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
2,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2090,-1e-07,-3e-09,1e-07,3e-09,0.030000000000000002,-0.97,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
3,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2095,-1e-07,-3e-09,1e-07,3e-09,0.030000000000000002,-0.97,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
4,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2100,-1e-07,-3e-09,1e-07,3e-09,0.030000000000000002,-0.97,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
5,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2075,-1e-07,-4e-09,1e-07,4e-09,0.04,-0.96,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
6,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2080,-1e-07,-4e-09,1e-07,4e-09,0.04,-0.96,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
7,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2070,-1e-07,-5e-09,1e-07,5e-09,0.05,-0.95,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
8,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2040,-1e-07,-1e-08,1e-07,1e-08,0.1,-0.9,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
9,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2045,-1e-07,-1e-08,1e-07,1e-08,0.1,-0.9,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
10,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2050,-1e-07,-1e-08,1e-07,1e-08,0.1,-0.9,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
11,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2055,-1e-07,-1e-08,1e-07,1e-08,0.1,-0.9,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
12,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2060,-1e-07,-1e-08,1e-07,1e-08,0.1,-0.9,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
13,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2065,-1e-07,-1e-08,1e-07,1e-08,0.1,-0.9,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
14,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2075,-1e-07,-2e-08,1e-07,2e-08,0.2,-0.8,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
15,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2080,-1e-07,-2e-08,1e-07,2e-08,0.2,-0.8,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
16,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2085,-1e-07,-2e-08,1e-07,2e-08,0.2,-0.8,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
17,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2090,-1e-07,-2e-08,1e-07,2e-08,0.2,-0.8,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
18,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2095,-1e-07,-2e-08,1e-07,2e-08,0.2,-0.8,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
19,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2100,-1e-07,-2e-08,1e-07,2e-08,0.2,-0.8,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
20,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2035,-1e-07,-2e-08,1e-07,2e-08,0.2,-0.8,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
21,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2060,-1e-07,-3e-08,1e-07,3e-08,0.3,-0.7,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
22,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2065,-1e-07,-3e-08,1e-07,3e-08,0.3,-0.7,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
23,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2070,-1e-07,-3e-08,1e-07,3e-08,0.3,-0.7,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
24,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2055,-1e-07,-4e-08,1e-07,4e-08,0.4,-0.6,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
25,lowest,312001,CA,36.0,-119.75,ssp5-8.5,2030,-1e-07,-4e-08,1e-07,4e-08,0.4,-0.6,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
26,lowest,324979,CA,33.75,-115.25,ssp5-8.5,2100,-3.5e-05,-1.4e-05,3.5e-05,1.4e-05,0.4,-0.6,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_324979_CA_CAISO_OnshoreWind_physical_risks.xlsx
27,lowest,324979,CA,33.75,-115.25,ssp5-8.5,2095,-3.5e-05,-1.5e-05,3.5e-05,1.5e-05,0.4285714285714286,-0.5714285714285714,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_324979_CA_CAISO_OnshoreWind_physical_risks.xlsx
28,lowest,324979,CA,33.75,-115.25,ssp5-8.5,2090,-3.5e-05,-1.6e-05,3.5e-05,1.6e-05,0.4571428571428572,-0.5428571428571428,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_324979_CA_CAISO_OnshoreWind_physical_risks.xlsx
29,lowest,324979,CA,33.75,-115.25,ssp5-8.5,2085,-3.5e-05,-1.7e-05,3.5e-05,1.7e-05,0.48571428571428577,-0.5142857142857142,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_324979_CA_CAISO_OnshoreWind_physical_risks.xlsx
30,lowest,312001,CA,36.0,-119.75,ssp2-4.5,2050,-1e-07,-5e-08,1e-07,5e-08,0.5,-0.5,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_312001_CA_CAISO_OnshoreWind_physical_risks.xlsx
31,lowest,324979,CA,33.75,-115.25,ssp5-8.5,2080,-3.5e-05,-1.8e-05,3.5e-05,1.8e-05,0.5142857142857143,-0.48571428571428565,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_324979_CA_CAISO_OnshoreWind_physical_risks.xlsx
32,lowest,251549,MT,46.5,-112.75,ssp5-8.5,2100,-0.005088,-0.002717,0.005088,0.002717,0.534001572327044,-0.46599842767295596,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251549_MT_WEIM_OnshoreWind_physical_risks.xlsx
33,lowest,324979,CA,33.75,-115.25,ssp5-8.5,2075,-3.5e-05,-1.9e-05,3.5e-05,1.9e-05,0.5428571428571429,-0.4571428571428571,observed_factor,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_324979_CA_CAISO_OnshoreWind_physical_risks.xlsx
