method,scenario,horizon,baseline_eal_rate,future_eal_rate_limit,cells_exceeding_limit,share_exceeding_limit
raw,ssp2-4.5,2100,0.001,0.1,2,0.00016711229946524063
raw,ssp2-4.5,2100,0.001,0.5,0,0.0
raw,ssp2-4.5,2100,0.001,1.0,0,0.0
raw,ssp2-4.5,2100,0.005,0.1,9,0.0007520053475935829
raw,ssp2-4.5,2100,0.005,0.5,2,0.00016711229946524063
raw,ssp2-4.5,2100,0.005,1.0,1,8.355614973262032e-05
raw,ssp2-4.5,2100,0.01,0.1,12,0.001002673796791444
raw,ssp2-4.5,2100,0.01,0.5,3,0.000250668449197861
raw,ssp2-4.5,2100,0.01,1.0,2,0.00016711229946524063
raw,ssp2-4.5,2100,0.02,0.1,19,0.0015875668449197862
raw,ssp2-4.5,2100,0.02,0.5,6,0.000501336898395722
raw,ssp2-4.5,2100,0.02,1.0,3,0.000250668449197861
raw,ssp2-4.5,2100,0.05,0.1,43,0.003592914438502674
raw,ssp2-4.5,2100,0.05,0.5,12,0.001002673796791444
raw,ssp2-4.5,2100,0.05,1.0,9,0.0007520053475935829
raw,ssp2-4.5,2100,0.1,0.1,5029,0.4202038770053476
raw,ssp2-4.5,2100,0.1,0.5,19,0.0015875668449197862
raw,ssp2-4.5,2100,0.1,1.0,12,0.001002673796791444
raw,ssp5-8.5,2100,0.001,0.1,1,8.355614973262032e-05
raw,ssp5-8.5,2100,0.001,0.5,0,0.0
raw,ssp5-8.5,2100,0.001,1.0,0,0.0
raw,ssp5-8.5,2100,0.005,0.1,3,0.000250668449197861
raw,ssp5-8.5,2100,0.005,0.5,1,8.355614973262032e-05
raw,ssp5-8.5,2100,0.005,1.0,1,8.355614973262032e-05
raw,ssp5-8.5,2100,0.01,0.1,5,0.0004177807486631016
raw,ssp5-8.5,2100,0.01,0.5,1,8.355614973262032e-05
raw,ssp5-8.5,2100,0.01,1.0,1,8.355614973262032e-05
raw,ssp5-8.5,2100,0.02,0.1,14,0.0011697860962566844
raw,ssp5-8.5,2100,0.02,0.5,3,0.000250668449197861
raw,ssp5-8.5,2100,0.02,1.0,1,8.355614973262032e-05
raw,ssp5-8.5,2100,0.05,0.1,89,0.007436497326203209
raw,ssp5-8.5,2100,0.05,0.5,5,0.0004177807486631016
raw,ssp5-8.5,2100,0.05,1.0,3,0.000250668449197861
raw,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
raw,ssp5-8.5,2100,0.1,0.5,14,0.0011697860962566844
raw,ssp5-8.5,2100,0.1,1.0,5,0.0004177807486631016
hard_cap_5,ssp2-4.5,2100,0.001,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.001,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.001,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.005,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.005,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.005,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.01,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.01,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.01,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.02,0.1,0,0.0
hard_cap_5,ssp2-4.5,2100,0.02,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.02,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.05,0.1,43,0.003592914438502674
hard_cap_5,ssp2-4.5,2100,0.05,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.05,1.0,0,0.0
hard_cap_5,ssp2-4.5,2100,0.1,0.1,5029,0.4202038770053476
hard_cap_5,ssp2-4.5,2100,0.1,0.5,0,0.0
hard_cap_5,ssp2-4.5,2100,0.1,1.0,0,0.0
hard_cap_5,ssp5-8.5,2100,0.001,0.1,0,0.0
hard_cap_5,ssp5-8.5,2100,0.001,0.5,0,0.0
hard_cap_5,ssp5-8.5,2100,0.001,1.0,0,0.0
hard_cap_5,ssp5-8.5,2100,0.005,0.1,0,0.0
hard_cap_5,ssp5-8.5,2100,0.005,0.5,0,0.0
hard_cap_5,ssp5-8.5,2100,0.005,1.0,0,0.0
hard_cap_5,ssp5-8.5,2100,0.01,0.1,0,0.0
hard_cap_5,ssp5-8.5,2100,0.01,0.5,0,0.0
hard_cap_5,ssp5-8.5,2100,0.01,1.0,0,0.0
hard_cap_5,ssp5-8.5,2100,0.02,0.1,0,0.0
hard_cap_5,ssp5-8.5,2100,0.02,0.5,0,0.0
hard_cap_5,ssp5-8.5,2100,0.02,1.0,0,0.0
hard_cap_5,ssp5-8.5,2100,0.05,0.1,89,0.007436497326203209
hard_cap_5,ssp5-8.5,2100,0.05,0.5,0,0.0
hard_cap_5,ssp5-8.5,2100,0.05,1.0,0,0.0
hard_cap_5,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
hard_cap_5,ssp5-8.5,2100,0.1,0.5,0,0.0
hard_cap_5,ssp5-8.5,2100,0.1,1.0,0,0.0
power_0_5,ssp2-4.5,2100,0.001,0.1,0,0.0
power_0_5,ssp2-4.5,2100,0.001,0.5,0,0.0
power_0_5,ssp2-4.5,2100,0.001,1.0,0,0.0
power_0_5,ssp2-4.5,2100,0.005,0.1,0,0.0
power_0_5,ssp2-4.5,2100,0.005,0.5,0,0.0
power_0_5,ssp2-4.5,2100,0.005,1.0,0,0.0
power_0_5,ssp2-4.5,2100,0.01,0.1,2,0.00016711229946524063
power_0_5,ssp2-4.5,2100,0.01,0.5,0,0.0
power_0_5,ssp2-4.5,2100,0.01,1.0,0,0.0
power_0_5,ssp2-4.5,2100,0.02,0.1,6,0.000501336898395722
power_0_5,ssp2-4.5,2100,0.02,0.5,0,0.0
power_0_5,ssp2-4.5,2100,0.02,1.0,0,0.0
power_0_5,ssp2-4.5,2100,0.05,0.1,21,0.0017546791443850268
power_0_5,ssp2-4.5,2100,0.05,0.5,2,0.00016711229946524063
power_0_5,ssp2-4.5,2100,0.05,1.0,0,0.0
power_0_5,ssp2-4.5,2100,0.1,0.1,5029,0.4202038770053476
power_0_5,ssp2-4.5,2100,0.1,0.5,6,0.000501336898395722
power_0_5,ssp2-4.5,2100,0.1,1.0,2,0.00016711229946524063
power_0_5,ssp5-8.5,2100,0.001,0.1,0,0.0
power_0_5,ssp5-8.5,2100,0.001,0.5,0,0.0
power_0_5,ssp5-8.5,2100,0.001,1.0,0,0.0
power_0_5,ssp5-8.5,2100,0.005,0.1,0,0.0
power_0_5,ssp5-8.5,2100,0.005,0.5,0,0.0
power_0_5,ssp5-8.5,2100,0.005,1.0,0,0.0
power_0_5,ssp5-8.5,2100,0.01,0.1,1,8.355614973262032e-05
power_0_5,ssp5-8.5,2100,0.01,0.5,0,0.0
power_0_5,ssp5-8.5,2100,0.01,1.0,0,0.0
power_0_5,ssp5-8.5,2100,0.02,0.1,3,0.000250668449197861
power_0_5,ssp5-8.5,2100,0.02,0.5,0,0.0
power_0_5,ssp5-8.5,2100,0.02,1.0,0,0.0
power_0_5,ssp5-8.5,2100,0.05,0.1,17,0.0014204545454545455
power_0_5,ssp5-8.5,2100,0.05,0.5,1,8.355614973262032e-05
power_0_5,ssp5-8.5,2100,0.05,1.0,0,0.0
power_0_5,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
power_0_5,ssp5-8.5,2100,0.1,0.5,3,0.000250668449197861
power_0_5,ssp5-8.5,2100,0.1,1.0,1,8.355614973262032e-05
symmetric_log,ssp2-4.5,2100,0.001,0.1,0,0.0
symmetric_log,ssp2-4.5,2100,0.001,0.5,0,0.0
symmetric_log,ssp2-4.5,2100,0.001,1.0,0,0.0
symmetric_log,ssp2-4.5,2100,0.005,0.1,0,0.0
symmetric_log,ssp2-4.5,2100,0.005,0.5,0,0.0
symmetric_log,ssp2-4.5,2100,0.005,1.0,0,0.0
symmetric_log,ssp2-4.5,2100,0.01,0.1,0,0.0
symmetric_log,ssp2-4.5,2100,0.01,0.5,0,0.0
symmetric_log,ssp2-4.5,2100,0.01,1.0,0,0.0
symmetric_log,ssp2-4.5,2100,0.02,0.1,3,0.000250668449197861
symmetric_log,ssp2-4.5,2100,0.02,0.5,0,0.0
symmetric_log,ssp2-4.5,2100,0.02,1.0,0,0.0
symmetric_log,ssp2-4.5,2100,0.05,0.1,28,0.002339572192513369
symmetric_log,ssp2-4.5,2100,0.05,0.5,0,0.0
symmetric_log,ssp2-4.5,2100,0.05,1.0,0,0.0
symmetric_log,ssp2-4.5,2100,0.1,0.1,5029,0.4202038770053476
symmetric_log,ssp2-4.5,2100,0.1,0.5,3,0.000250668449197861
symmetric_log,ssp2-4.5,2100,0.1,1.0,0,0.0
symmetric_log,ssp5-8.5,2100,0.001,0.1,0,0.0
symmetric_log,ssp5-8.5,2100,0.001,0.5,0,0.0
symmetric_log,ssp5-8.5,2100,0.001,1.0,0,0.0
symmetric_log,ssp5-8.5,2100,0.005,0.1,0,0.0
symmetric_log,ssp5-8.5,2100,0.005,0.5,0,0.0
symmetric_log,ssp5-8.5,2100,0.005,1.0,0,0.0
symmetric_log,ssp5-8.5,2100,0.01,0.1,0,0.0
symmetric_log,ssp5-8.5,2100,0.01,0.5,0,0.0
symmetric_log,ssp5-8.5,2100,0.01,1.0,0,0.0
symmetric_log,ssp5-8.5,2100,0.02,0.1,1,8.355614973262032e-05
symmetric_log,ssp5-8.5,2100,0.02,0.5,0,0.0
symmetric_log,ssp5-8.5,2100,0.02,1.0,0,0.0
symmetric_log,ssp5-8.5,2100,0.05,0.1,27,0.0022560160427807486
symmetric_log,ssp5-8.5,2100,0.05,0.5,0,0.0
symmetric_log,ssp5-8.5,2100,0.05,1.0,0,0.0
symmetric_log,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
symmetric_log,ssp5-8.5,2100,0.1,0.5,1,8.355614973262032e-05
symmetric_log,ssp5-8.5,2100,0.1,1.0,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.001,0.1,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.001,0.5,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.001,1.0,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.005,0.1,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.005,0.5,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.005,1.0,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.01,0.1,1,8.355614973262032e-05
baseline_floor_1e-4,ssp2-4.5,2100,0.01,0.5,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.01,1.0,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.02,0.1,8,0.0006684491978609625
baseline_floor_1e-4,ssp2-4.5,2100,0.02,0.5,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.02,1.0,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.05,0.1,37,0.003091577540106952
baseline_floor_1e-4,ssp2-4.5,2100,0.05,0.5,1,8.355614973262032e-05
baseline_floor_1e-4,ssp2-4.5,2100,0.05,1.0,0,0.0
baseline_floor_1e-4,ssp2-4.5,2100,0.1,0.1,5029,0.4202038770053476
baseline_floor_1e-4,ssp2-4.5,2100,0.1,0.5,8,0.0006684491978609625
baseline_floor_1e-4,ssp2-4.5,2100,0.1,1.0,1,8.355614973262032e-05
baseline_floor_1e-4,ssp5-8.5,2100,0.001,0.1,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.001,0.5,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.001,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.005,0.1,1,8.355614973262032e-05
baseline_floor_1e-4,ssp5-8.5,2100,0.005,0.5,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.005,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.01,0.1,3,0.000250668449197861
baseline_floor_1e-4,ssp5-8.5,2100,0.01,0.5,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.01,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.02,0.1,7,0.0005848930481283422
baseline_floor_1e-4,ssp5-8.5,2100,0.02,0.5,1,8.355614973262032e-05
baseline_floor_1e-4,ssp5-8.5,2100,0.02,1.0,0,0.0
baseline_floor_1e-4,ssp5-8.5,2100,0.05,0.1,45,0.0037600267379679143
baseline_floor_1e-4,ssp5-8.5,2100,0.05,0.5,3,0.000250668449197861
baseline_floor_1e-4,ssp5-8.5,2100,0.05,1.0,1,8.355614973262032e-05
baseline_floor_1e-4,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
baseline_floor_1e-4,ssp5-8.5,2100,0.1,0.5,7,0.0005848930481283422
baseline_floor_1e-4,ssp5-8.5,2100,0.1,1.0,3,0.000250668449197861
soft_log_t1_5_c5,ssp2-4.5,2100,0.001,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.001,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.001,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.005,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.005,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.005,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.01,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.01,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.01,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.02,0.1,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.02,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.02,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.05,0.1,43,0.003592914438502674
soft_log_t1_5_c5,ssp2-4.5,2100,0.05,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.05,1.0,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.1,0.1,5029,0.4202038770053476
soft_log_t1_5_c5,ssp2-4.5,2100,0.1,0.5,0,0.0
soft_log_t1_5_c5,ssp2-4.5,2100,0.1,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.001,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.001,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.001,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.005,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.005,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.005,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.01,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.01,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.01,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.02,0.1,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.02,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.02,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.05,0.1,87,0.007269385026737968
soft_log_t1_5_c5,ssp5-8.5,2100,0.05,0.5,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.05,1.0,0,0.0
soft_log_t1_5_c5,ssp5-8.5,2100,0.1,0.1,6557,0.5478776737967914
soft_log_t1_5_c5,ssp5-8.5,2100,0.1,0.5,0,0.0
