method,scenario,horizon,minimum,median,p90,p95,p99,p99_5,p99_9,maximum,above_2,above_5,above_10,below_0_5
raw,ssp2-4.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
raw,ssp2-4.5,2030,0.8571428571428572,1.0,1.0069041298502477,1.0099846390168972,1.0295689417976899,1.0588993296999307,1.3333333333333333,2.0,0,0,0,0
raw,ssp2-4.5,2035,0.8571428571428572,1.0,1.014232282508379,1.0207674808720832,1.0714285714285714,1.1457438528845245,2.0,2.0,0,0,0,0
raw,ssp2-4.5,2040,0.8571428571428572,1.0,1.021978021978022,1.032258064516129,1.125,1.25,2.0,2.0,0,0,0,0
raw,ssp2-4.5,2045,0.8571428571428572,1.0,1.0299612966104945,1.0444444444444443,1.1822755667955034,1.3333333333333335,2.0,3.0,3,0,0,0
raw,ssp2-4.5,2050,0.5,1.0,1.0384615384615385,1.0562258093246302,1.25,1.4999999999999998,2.0,4.0,4,0,0,0
raw,ssp2-4.5,2055,0.4,1.0,1.0457668235623228,1.0667699936189847,1.2912607768979787,1.5,2.0,4.0,5,0,0,1
raw,ssp2-4.5,2060,0.3,1.0,1.0524597292903837,1.0757743696647812,1.3333333333333333,1.562346738384964,2.0,5.000000000000001,8,1,0,1
raw,ssp2-4.5,2065,0.3,1.0,1.0585194683104964,1.0839212389538444,1.3925441258397504,2.0,2.0,6.666666666666667,11,3,0,1
raw,ssp2-4.5,2070,0.3,1.0,1.0653174445695806,1.0927941640149887,1.4811670648482522,2.0,2.206131004366358,10.000000000000002,14,4,1,1
raw,ssp2-4.5,2075,0.2,1.0,1.0717638332831088,1.102623243695716,1.5,2.0,3.338833333333241,30.000000000000004,19,8,3,1
raw,ssp2-4.5,2080,0.2,1.0,1.078152513519752,1.1111111111111112,1.5366085107694598,2.0,4.1716890413723835,76.00000000000001,26,12,5,1
raw,ssp2-4.5,2085,0.2,1.0,1.0839487429166619,1.118590291188722,1.6813821246578708,2.0,5.011976706861949,148.0,33,12,10,1
raw,ssp2-4.5,2090,0.2,1.0,1.090909090909091,1.1284270868537412,1.8813845294364049,2.0,6.549205494505149,232.0,36,16,10,1
raw,ssp2-4.5,2095,0.2,1.0,1.098660015012903,1.138790552614676,2.0,2.0,8.129699999999504,311.00000000000006,41,18,10,1
raw,ssp2-4.5,2100,0.2,1.0,1.1059329072615522,1.146979698892038,2.0,2.0,9.511717582416907,380.00000000000006,43,19,12,1
raw,ssp5-8.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
raw,ssp5-8.5,2030,0.4,1.0,1.0140217767476518,1.0222197181083206,1.043718873213944,1.0769230769230769,1.5,2.0,0,0,0,1
raw,ssp5-8.5,2035,0.2,1.0,1.0303030303030303,1.0457025701281704,1.0999999999999999,1.25,2.0,2.0,0,0,0,1
raw,ssp5-8.5,2040,0.1,1.0,1.048722305077382,1.0714285714285714,1.2311686694516952,1.3333333333333335,2.0,2.2227557232273,3,0,0,1
raw,ssp5-8.5,2045,0.1,1.0,1.0666666666666667,1.096105876851441,1.3333333333333333,1.5091666666666141,2.0,3.0,4,0,0,1
raw,ssp5-8.5,2050,0.1,1.0,1.0851266067487912,1.1235098297287043,1.3789210390660696,2.0,2.0,4.0,5,0,0,1
raw,ssp5-8.5,2055,0.1,1.0,1.1052631578947367,1.1498880452488207,1.5,2.0,2.0,10.0,11,1,0,1
raw,ssp5-8.5,2060,0.1,1.0,1.1253281575080591,1.1753465725821493,1.5,2.0,2.1239444444442293,30.000000000000004,14,3,1,1
