method,factor_raw,factor_adjusted
raw,0.0394736842,0.0394736842
raw,0.1,0.1
raw,0.2,0.2
raw,0.5,0.5
raw,1,1
raw,1.2,1.2
raw,1.5,1.5
raw,2,2
raw,3,3
raw,5,5
raw,10,10
raw,25,25
raw,100,100
raw,1556.745114921,1556.745114921
hard_cap_5,0.0394736842,0.2
hard_cap_5,0.1,0.2
hard_cap_5,0.2,0.2
hard_cap_5,0.5,0.5
hard_cap_5,1,1
hard_cap_5,1.2,1.2
hard_cap_5,1.5,1.5
hard_cap_5,2,2
hard_cap_5,3,3
hard_cap_5,5,5.0
hard_cap_5,10,5.0
hard_cap_5,25,5.0
hard_cap_5,100,5.0
hard_cap_5,1556.745114921,5.0
power_0_5,0.0394736842,0.19867985353326592
power_0_5,0.1,0.316227766016838
power_0_5,0.2,0.447213595499958
power_0_5,0.5,0.7071067811865476
power_0_5,1,1.0
power_0_5,1.2,1.0954451150103321
power_0_5,1.5,1.224744871391589
power_0_5,2,1.414213562373095
power_0_5,3,1.7320508075688774
power_0_5,5,2.23606797749979
power_0_5,10,3.1622776601683795
power_0_5,25,4.999999999999999
power_0_5,100,10.000000000000002
power_0_5,1556.745114921,39.45560942275509
symmetric_log,0.0394736842,0.23628813725794143
symmetric_log,0.1,0.30279310656411385
symmetric_log,0.2,0.383224293337255
symmetric_log,0.5,0.5906161091496412
symmetric_log,1,1.0
symmetric_log,1.2,1.1823215567939547
symmetric_log,1.5,1.4054651081081644
symmetric_log,2,1.6931471805599454
symmetric_log,3,2.09861228866811
symmetric_log,5,2.6094379124341005
symmetric_log,10,3.302585092994046
symmetric_log,25,4.218875824868201
symmetric_log,100,5.605170185988092
symmetric_log,1556.745114921,8.350352455749244
soft_log_t1_5_c5,0.0394736842,0.20440776891191426
soft_log_t1_5_c5,0.1,0.22077123488247952
soft_log_t1_5_c5,0.2,0.2664939440065537
soft_log_t1_5_c5,0.5,0.502683567711761
soft_log_t1_5_c5,1,1
soft_log_t1_5_c5,1.2,1.2
soft_log_t1_5_c5,1.5,1.5
soft_log_t1_5_c5,2,1.9893230338760552
soft_log_t1_5_c5,3,2.8038218571183005
soft_log_t1_5_c5,5,3.7524304866582923
soft_log_t1_5_c5,10,4.529575605863318
soft_log_t1_5_c5,25,4.889831966998864
soft_log_t1_5_c5,100,4.988782228877133
soft_log_t1_5_c5,1556.745114921,4.999882424276713
soft_log_t2_c3,0.0394736842,0.33333431703041916
soft_log_t2_c3,0.1,0.33342972197506965
soft_log_t2_c3,0.2,0.33625866059870746
soft_log_t2_c3,0.5,0.5
soft_log_t2_c3,1,1
