method,changed_rows,changed_share,explicit_spatial_replacements,core_mean_absolute_log_error,core_max_absolute_log_error,global_minimum,global_maximum,temporal_reversals,temporal_ties_created,scenario_reversals,scenario_ties_created,spatial_roughness_2100
raw,0,0.0,0,0.0,0.0,0.030000000000000002,380.00000000000006,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5906929129222622}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6145959225862857}}"
hard_cap_5,182,0.0004752256016042781,0,0.0,0.0,0.2,5.0,0,138,0,63,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5885475781573599}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6145959225862857}}"
power_0_5,167263,0.4367453835227273,0,0.01666797730051215,0.34657359027997275,0.17320508075688773,19.49358868961793,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0002469346205934879, ""p99_absolute_log_deviation"": 0.29534645646113117}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.001336344196407012, ""p99_absolute_log_deviation"": 0.3072979612931429}}"
symmetric_log,167263,0.4367453835227273,0,0.0032015812081639945,0.1665581464209008,0.22189884669953827,6.940171252720432,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004731411600034604, ""p99_absolute_log_deviation"": 0.43031676921949435}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0023515688188147504, ""p99_absolute_log_deviation"": 0.4553210317665439}}"
baseline_floor_1e-4,28937,0.07555825952540107,0,0.011252049692439854,0.6931421805724453,0.534001572327044,27.319999999999997,0,0,2,1096,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.00037477830608150534, ""p99_absolute_log_deviation"": 0.2088562665089439}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.0026060661517981684, ""p99_absolute_log_deviation"": 0.37954384754723675}}"
soft_log_t1_5_c5,4182,0.010919744318181818,0,3.308282557969601e-05,0.005352783681122794,0.20279218324740014,4.998776554036281,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5800972234514203}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6016142297565117}}"
soft_log_t2_c3,690,0.0018016794786096257,0,3.4469577958062766e-18,2.2204460492503128e-16,0.33333358740859537,2.9999999999860076,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5807275613498047}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6069125064837768}}"
soft_log_t2_c5,690,0.0018016794786096257,0,3.4469577958062766e-18,2.2204460492503128e-16,0.20078898527284858,4.999902689751558,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5867687949936612}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6119175515126634}}"
soft_log_t2_c10,689,0.0017990683489304813,0,3.4469577958062766e-18,2.2204460492503128e-16,0.10993361877745676,9.952761222411086,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5906088915310714}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6145959225862856}}"
soft_log_t3_c5,307,0.0008016168114973262,0,3.4469577958062766e-18,2.2204460492503128e-16,0.20001644122131865,4.99999997008664,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5885475781573599}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6145959225862856}}"
soft_log_t3_c10,307,0.0008016168114973262,0,3.4469577958062766e-18,2.2204460492503128e-16,0.10442613728835883,9.992264906222061,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5906929129222622}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6145959225862856}}"
soft_log_t5_c10,182,0.0004752256016042781,0,3.4469577958062766e-18,2.2204460492503128e-16,0.10058076105272838,9.999948123362307,0,0,0,0,"{""ssp2-4.5"": {""median_absolute_log_deviation"": 0.0004938692411870678, ""p99_absolute_log_deviation"": 0.5906929129222622}, ""ssp5-8.5"": {""median_absolute_log_deviation"": 0.002672688392814218, ""p99_absolute_log_deviation"": 0.6145959225862856}}"
