Asset Name,Asset type,TICCS Class,TICCS Class name,NACE code,Sector,Operating entity name,Detention rate,Country,Country Code (ISO3),Address,Latitude,Longitude,Revenues,Asset Value,Year,Scope 1,Scope 2,Decarbonisation Scope 1,Decarbonisation Scope 2,Flood: Blue-green infrastructure,Flood: Drainage system upgrades,Flood: Elevation,Flood: Erosion control,Flood: Flood barriers,Flood: Pumps,Flood: Reservoir capacity expansion,Flood: Sea walls,Flood: Spillway enhancement,Flood: Structural improvements,Flood: Undergrounding,Storm: Natural infrastructure - vegetation management,Storm: Structural improvements,Storm: Undergrounding,Storm: Wind breaks - Structural,Storm: Wind breaks - terrain and landscaping,Storm: Wind breaks - vegetation,Heat: Blue-green infrastructure,Heat: Cooling systems - mechanical,Heat: Cooling systems - natural and evaporative,Heat: Heat reflective coatings,Heat: Heat-resistant construction materials,Heat: Insulation,Heat: Optimise operational practices,Heat: Shading - greening,Heat: Shading - shade structures,Heat: Undergrounding,Wildfire: Defensible space management,Wildfire: Erosion and sediment control,Wildfire: Fire retardants,Wildfire: Fire suppression systems,Wildfire: Firebreaks,Wildfire: Fireproof building materials,Wildfire: Fuel reduction zones,Wildfire: Prescribed burns,Wildfire: Structural hardening,Wildfire: Undergrouding,Wildfire: Vegetation management and landscaping
is_p_5461f672b3314d4d87d937cfcbf8d9cc,Other power plant,IC1010,Independent Power Producers,D35.11,Production of electricity from non-renewable sources,,,United States,USA,"Pierce County, WA, USA",46.953468,-121.4752,,2847184.9353,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_7bc314139c4b48d9b1fe9377ad137866,Hydroelectric dam,IC7030,Hydroelectric Power Generation,D35.12,Production of electricity from renewable sources,,,United States,USA,"Skagit County, WA, USA",48.5478,-121.7407,,246032561.8751,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_1667454096844098b41d1acae4864750,Hydroelectric dam,IC7030,Hydroelectric Power Generation,D35.12,Production of electricity from renewable sources,,,United States,USA,"King County, WA, USA",47.54011,-121.837,,80840156.2496,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_1eb5dca62b35475aa8dcfd2cd84e0e77,Hydroelectric dam,IC7030,Hydroelectric Power Generation,D35.12,Production of electricity from renewable sources,,,United States,USA,"Whatcom County, WA, USA",48.649,-121.6907,,222813268.9928,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_e120a7b7e8a846de9076732b82edfb1d,Gas power Plant,IC1010,Independent Power Producers,D35.11,Production of electricity from non-renewable sources,,,United States,USA,"Niagara County, NY, USA",43.161947,-78.74497,,213580228.338,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_8eeec310be3a43a5abdb9a4c9b486425,Gas power Plant,IC1010,Independent Power Producers,D35.11,Production of electricity from non-renewable sources,,,United States,USA,"Whatcom County, WA, USA",48.990175,-122.273807,,85716500,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_24f96a7c9d5f4a098b269dde88316369,Gas power Plant,IC1010,Independent Power Producers,D35.11,Production of electricity from non-renewable sources,,,United States,USA,"Whatcom County, WA, USA",48.828996,-122.6851,,171014500,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_9889591983614c7bb3bcd5d31503ca12,Gas power Plant,IC1010,Independent Power Producers,D35.11,Production of electricity from non-renewable sources,,,United States,USA,"Klickitat County, WA, USA",45.8114,-120.833,,322784800,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_3615974e053741068da0cad25b38eed6,Gas power Plant,IC1010,Independent Power Producers,D35.11,Production of electricity from non-renewable sources,,,United States,USA,"Cowlitz County, WA, USA",47.086321,-122.364959,,127919000,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_p_952f55d2f7a548008939c16702c3d5f1,Gas power Plant,IC1010,Independent Power Producers,D35.11,Production of electricity from non-renewable sources,,,United States,USA,"Pierce County, WA, USA",47.086111,-122.3657,,172518600,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
